tier,semantic_overall,semantic_experience,semantic_projects,semantic_skills_context,semantic_education,keyword_score,required_skill_coverage,preferred_skill_coverage,tfidf_similarity,skill_count,required_skill_count,matched_required_count,missing_required_count,experience_relevance,project_relevance,education_relevance,relevance_label
LOW,0.09600158937595045,0.15603768504046703,0.17124676668724756,0.0,0.0,0.1626108386611043,0.21534084838007425,0.06837574076564178,0.0986559073996569,3,6,1,5,0.15603768504046703,0.17124676668724756,0.0,8.04
MEDIUM,0.585268944836164,0.6226696922163276,0.516525547805505,0.6147690075627639,0.31380000130241487,0.5326267939531182,0.681767545196091,0.3400148178027494,0.2778165163745687,12,7,5,2,0.6226696922163276,0.516525547805505,0.31380000130241487,55.76
LOW,0.16478664495117706,0.20737137979544495,0.19402217010030334,0.19780525387885614,0.1584327517666122,0.29787444326983625,0.45699771210445533,0.05935849836153845,0.05902058167427702,5,6,3,3,0.20737137979544495,0.19402217010030334,0.1584327517666122,31.37
HIGH,0.6159843523037472,0.550025855048448,0.6680317753297232,0.6754446860000225,0.48550447344314246,0.7601424463921891,0.8467592234169045,0.696432264613344,0.5640022970968874,19,8,7,1,0.550025855048448,0.6680317753297232,0.48550447344314246,71.96
HIGH,0.7067579069488891,0.7298874588440878,0.7572609650159723,0.5901854413604357,0.4627634132284922,0.7252635846347717,0.8623701876565764,0.5222244303513316,0.516982929852798,16,11,9,2,0.7298874588440878,0.7572609650159723,0.4627634132284922,83.22
MEDIUM,0.409813796401707,0.42283404161010746,0.4567115829104493,0.4667119227851354,0.3662043810011874,0.43071209294122964,0.4976912391627344,0.25752964146708657,0.40295710575085847,6,8,4,4,0.42283404161010746,0.4567115829104493,0.3662043810011874,24.94
HIGH,0.7497160744053764,0.7611101332910216,0.8049549027307978,0.7155358626984536,0.5406552211914348,0.8086170830230006,0.950047231517387,0.5881306920559524,0.6048130285068894,16,7,7,0,0.7611101332910216,0.8049549027307978,0.5406552211914348,81.54
LOW,0.2486972480785582,0.21114506086234028,0.2496967775767732,0.2871569807910309,0.21874119125798513,0.19916524516314568,0.27984621307673435,0.09015145154905764,0.0661361350364677,3,8,2,6,0.21114506086234028,0.2496967775767732,0.21874119125798513,3.99
HIGH,0.6002753172398517,0.6322572553777267,0.5278369928110469,0.5700223129167006,0.5501155518465027,0.7699931278074981,0.871498882315086,0.7975031136934173,0.4379658783988148,16,8,7,1,0.6322572553777267,0.5278369928110469,0.5501155518465027,74.63
MEDIUM,0.2427215492169182,0.2774754407005868,0.2617403974035004,0.19518955276117464,0.02529929901299724,0.45089617640420904,0.5608194261570805,0.2441014581872395,0.32792114536256445,11,8,4,4,0.2774754407005868,0.2617403974035004,0.02529929901299724,24.42
HIGH,0.7179275634956316,0.7355272982133728,0.8266625695148665,0.7847364631687979,0.538236400361893,0.7770954410410921,1.0,0.41224738913542985,0.47322981607003034,13,6,6,0,0.7355272982133728,0.8266625695148665,0.538236400361893,72.6
MEDIUM,0.4233332763481472,0.3056687727879346,0.34208694985154386,0.44841438414416285,0.38014595023314113,0.7662061052911778,0.849509633753768,0.9327724932014659,0.34972913199311956,11,6,5,1,0.3056687727879346,0.34208694985154386,0.38014595023314113,66.13
HIGH,0.6584642739820314,0.6094965300572468,0.6472010030687206,0.743742692445043,0.47662984853195645,0.6907669870362059,0.8873092130369049,0.4428692494348377,0.3490380466354772,15,7,6,1,0.6094965300572468,0.6472010030687206,0.47662984853195645,84.68
LOW,0.29827395110230576,0.2583303032191736,0.2034784497889438,0.221064610123716,0.13626915931803868,0.31023791441062565,0.45541636789221973,0.01786133207756139,0.1670791362989076,5,6,3,3,0.2583303032191736,0.2034784497889438,0.13626915931803868,32.77
MEDIUM,0.4451084968637479,0.3927254812293967,0.48079427298231436,0.4087098184364855,0.18901537142789873,0.38978732517396947,0.35830936385205714,0.3845175835444239,0.4894909507692522,8,8,3,5,0.3927254812293967,0.48079427298231436,0.18901537142789873,32.5
HIGH,0.7219382501363856,0.6890640716696866,0.8104413469411766,0.7562387652133147,0.658932374295069,0.7069806709359355,0.9146587549777525,0.40510619365589995,0.3858208960905202,21,11,10,1,0.6890640716696866,0.8104413469411766,0.658932374295069,76.43
HIGH,0.8461444292242202,0.7575807746607411,0.774566267707754,0.8976105727993438,0.5528405881709951,0.7813182236276305,0.8995902506623943,0.6173114202950976,0.5905089458558721,20,11,10,1,0.7575807746607411,0.774566267707754,0.5528405881709951,90.64
HIGH,0.6951281598069882,0.6276697381835585,0.597623114973098,0.6248759704526881,0.4531773677948105,0.7716427691457721,0.9732722033884811,0.3847214564520872,0.5536757791113301,14,7,7,0,0.6276697381835585,0.597623114973098,0.4531773677948105,84.9
